tf,family,stratum,max_sim_to_train,closest_train_tf,closest_is_same_family,sim_ARID3A,sim_FOXM1,sim_GATA3,sim_JUND,sim_MAX,sim_GABPA,sim_SP1
JUN,bZIP,within_family,0.9839385732003301,JUND,True,0.8207,0.9078,0.8467,0.9839,0.7927,0.7242,0.8367
FOSL1,bZIP,within_family,0.974984616121792,JUND,True,0.8032,0.8964,0.8376,0.975,0.7972,0.73,0.8415
ATF3,bZIP,within_family,0.9422097814528557,MAX,False,0.7259,0.8256,0.748,0.8719,0.9422,0.8766,0.9388
MYC,bHLH-ZIP,within_family,0.9890643144910345,MAX,True,0.5541,0.6705,0.5907,0.7072,0.9891,0.9286,0.9436
MXI1,bHLH-ZIP,within_family,0.9700014019929293,MAX,True,0.6585,0.762,0.6851,0.7883,0.97,0.9222,0.9602
USF1,bHLH-ZIP,within_family,0.97203183838191,MAX,True,0.6394,0.7464,0.6614,0.8017,0.972,0.8816,0.9458
ELF1,ETS,within_family,0.9788196435738099,GABPA,True,0.4765,0.5948,0.5094,0.63,0.9433,0.9788,0.9231
ETS1,ETS,within_family,0.9666222239910087,MAX,False,0.6041,0.7114,0.6447,0.7519,0.9666,0.9371,0.9587
SPI1,ETS,within_family,0.9318658148079842,FOXM1,False,0.839,0.9319,0.8641,0.9144,0.7236,0.7385,0.8064
SP2,C2H2-ZF/SP,within_family,0.984184422743074,SP1,True,0.5774,0.6785,0.6172,0.7212,0.9439,0.9258,0.9842
YY1,C2H2-ZF,within_family,0.9517035750352625,SP1,False,0.5945,0.6918,0.6327,0.7278,0.9491,0.9273,0.9517
ZNF143,C2H2-ZF,within_family,0.9379926444634408,SP1,False,0.6662,0.7657,0.687,0.786,0.9226,0.9104,0.938
REST,C2H2-ZF,within_family,0.9061324244393324,SP1,False,0.7246,0.8248,0.7735,0.859,0.8722,0.8184,0.9061
GATA1,GATA-ZF,within_family,0.9122723935636696,JUND,False,0.7972,0.8609,0.8812,0.9123,0.7954,0.7266,0.8463
GATA2,GATA-ZF,within_family,0.96263326585263,GATA3,True,0.8984,0.9199,0.9626,0.9334,0.668,0.6269,0.752
FOXA1,Forkhead,within_family,0.9733659650912893,ARID3A,False,0.9734,0.9429,0.9166,0.8768,0.5791,0.5529,0.6805
FOXA2,Forkhead,within_family,0.9736148675709885,ARID3A,False,0.9736,0.9422,0.9182,0.8793,0.585,0.5574,0.6863
CTCF,C2H2-ZF/CTCF,cross_family,0.9196666751947302,SP1,False,0.6169,0.7344,0.677,0.7885,0.9153,0.841,0.9197
STAT3,STAT,cross_family,0.9674213132210661,FOXM1,False,0.963,0.9674,0.9408,0.9294,0.5885,0.5814,0.6974
NRF1,NRF,cross_family,0.9165340740493775,MAX,False,0.5074,0.6066,0.5366,0.6335,0.9165,0.8575,0.8692
HNF4A,NuclearReceptor,cross_family,0.9366853023698969,FOXM1,False,0.8931,0.9367,0.882,0.9238,0.7413,0.701,0.8222
TCF7L2,HMG/TCF,cross_family,0.9242444438553268,FOXM1,False,0.8654,0.9242,0.8796,0.9186,0.828,0.8035,0.8978
ZBTB33,C2H2-ZF/BTB,cross_family,0.9304740823996812,SP1,False,0.6538,0.7576,0.6908,0.7748,0.9114,0.8864,0.9305
POLR2A,None(RNAPolII),non_motif,0.9520868468717062,MAX,False,0.5526,0.659,0.5947,0.7017,0.9521,0.9272,0.9394
EP300,None(coactivator),non_motif,0.955858290517298,GATA3,False,0.9083,0.9448,0.9559,0.9425,0.6911,0.6585,0.7756
EZH2,None(PRC2),non_motif,0.9685647644694007,FOXM1,False,0.9069,0.9686,0.9019,0.9208,0.7534,0.7419,0.8418
TAF1,None(TFIID),non_motif,0.9527317333320987,GABPA,False,0.5791,0.6886,0.6176,0.7216,0.9494,0.9527,0.9493
RBBP5,None(COMPASS),non_motif,0.955516289957368,MAX,False,0.5025,0.6204,0.5454,0.6711,0.9555,0.9408,0.9434
SAP30,None(Sin3/HDAC),non_motif,0.9658541793685694,MAX,False,0.5893,0.7081,0.6337,0.753,0.9659,0.9312,0.9607
