model,tf,method,faithfulness_to_ISM,stability,localization_at10,n_seqs
expert_ARID3A,ARID3A,vanilla,0.7303981362842166,0.9344796738497378,0.54,50
expert_ARID3A,ARID3A,vanilla_corr,0.7576661619103084,0.9418967967384974,0.528,50
expert_ARID3A,ARID3A,smoothgrad,0.7506609202096679,0.8945521258008152,0.59,50
expert_ARID3A,ARID3A,smoothgrad_corr,0.7577479324403028,0.8948696563774022,0.594,50
expert_ARID3A,ARID3A,shiftsmooth,0.7362872451951077,0.9489551543389632,0.552,50
expert_ARID3A,ARID3A,shiftsmooth_corr,0.7617842748980779,0.9516151426907397,0.55,50
expert_ARID3A,ARID3A,gradxinp,0.7303981362842166,0.9344796738497378,0.54,50
MoE,ARID3A,vanilla,0.6994064065230051,0.9398970297029703,0.528,50
MoE,ARID3A,vanilla_corr,0.7344806057076297,0.9427850902737334,0.5219999999999999,50
MoE,ARID3A,smoothgrad,0.726076412347117,0.9180235294117645,0.548,50
MoE,ARID3A,smoothgrad_corr,0.7575212580081537,0.9172736167734419,0.5219999999999999,50
MoE,ARID3A,shiftsmooth,0.7010804892253931,0.9494942341292953,0.528,50
MoE,ARID3A,shiftsmooth_corr,0.7363638905066976,0.9515638905066975,0.5299999999999999,50
MoE,ARID3A,gradxinp,0.6994064065230051,0.9398970297029703,0.528,50
expert_FOXM1,FOXM1,vanilla,0.7245122888759464,0.960728712871287,0.4699999999999999,50
expert_FOXM1,FOXM1,vanilla_corr,0.7575659871869539,0.9619820617355852,0.46399999999999997,50
expert_FOXM1,FOXM1,smoothgrad,0.7603850902737332,0.9190026790914385,0.5439999999999999,50
expert_FOXM1,FOXM1,smoothgrad_corr,0.7678285381479323,0.922297728596389,0.57,50
expert_FOXM1,FOXM1,shiftsmooth,0.7297129877693652,0.9711622597553873,0.49200000000000005,50
expert_FOXM1,FOXM1,shiftsmooth_corr,0.7561157833430403,0.9721581828771113,0.48,50
expert_FOXM1,FOXM1,gradxinp,0.7245122888759464,0.960728712871287,0.4699999999999999,50
MoE,FOXM1,vanilla,0.7039318974323737,0.9556057607622034,0.51,50
MoE,FOXM1,vanilla_corr,0.7416990099009899,0.9525626092020967,0.514,50
MoE,FOXM1,smoothgrad,0.7176601048340128,0.9176498543972045,0.5319999999999999,50
MoE,FOXM1,smoothgrad_corr,0.7449320908561442,0.9111748398369248,0.518,50
MoE,FOXM1,shiftsmooth,0.7082364589400116,0.964108095515434,0.524,50
MoE,FOXM1,shiftsmooth_corr,0.7449425742574257,0.9637032032615025,0.516,50
MoE,FOXM1,gradxinp,0.7039318974323737,0.9556057607622034,0.51,50
