model,data_type,tf,auc
HetMoE (ours),in_distribution,ARID3A,0.865236
HetMoE (ours),in_distribution,FOXM1,0.84486
HetMoE (ours),in_distribution,GATA3,0.89466
HetMoE (ours),in_distribution,JUND,0.987496
HetMoE (ours),in_distribution,MAX,0.8635
HetMoE (ours),in_distribution,GABPA,0.931624
HetMoE (ours),in_distribution,SP1,0.776524
HetMoE (ours),out_of_distribution,JUN,0.962036
HetMoE (ours),out_of_distribution,FOSL1,0.971936
HetMoE (ours),out_of_distribution,ATF3,0.824952
HetMoE (ours),out_of_distribution,MYC,0.860464
HetMoE (ours),out_of_distribution,MXI1,0.788444
HetMoE (ours),out_of_distribution,USF1,0.88503
HetMoE (ours),out_of_distribution,ELF1,0.947408
HetMoE (ours),out_of_distribution,ETS1,0.792112
HetMoE (ours),out_of_distribution,SPI1,0.860588
HetMoE (ours),out_of_distribution,SP2,0.820236
HetMoE (ours),out_of_distribution,YY1,0.702676
HetMoE (ours),out_of_distribution,ZNF143,0.727952
HetMoE (ours),out_of_distribution,REST,0.597452
HetMoE (ours),out_of_distribution,GATA1,0.934712
HetMoE (ours),out_of_distribution,GATA2,0.906452
HetMoE (ours),out_of_distribution,FOXA1,0.893
HetMoE (ours),out_of_distribution,FOXA2,0.898092
HetMoE (ours),out_of_distribution,CTCF,0.919572
HetMoE (ours),out_of_distribution,STAT3,0.843716
HetMoE (ours),out_of_distribution,NRF1,0.733464
HetMoE (ours),out_of_distribution,HNF4A,0.807228
HetMoE (ours),out_of_distribution,TCF7L2,0.702764
HetMoE (ours),out_of_distribution,ZBTB33,0.640718
HetMoE (ours),out_of_distribution,POLR2A,0.654412
HetMoE (ours),out_of_distribution,EP300,0.903848
HetMoE (ours),out_of_distribution,EZH2,0.6375
HetMoE (ours),out_of_distribution,TAF1,0.743004
HetMoE (ours),out_of_distribution,RBBP5,0.626464
HetMoE (ours),out_of_distribution,SAP30,0.608316
DNABERT-6,in_distribution,ARID3A,0.76492
DNABERT-6,in_distribution,FOXM1,0.7748
DNABERT-6,in_distribution,GATA3,0.81988
DNABERT-6,in_distribution,JUND,0.876888
DNABERT-6,in_distribution,MAX,0.86406
DNABERT-6,in_distribution,GABPA,0.88648
DNABERT-6,in_distribution,SP1,0.736144
DNABERT-6,out_of_distribution,JUN,0.879964
DNABERT-6,out_of_distribution,FOSL1,0.870276
DNABERT-6,out_of_distribution,ATF3,0.751596
DNABERT-6,out_of_distribution,MYC,0.859632
DNABERT-6,out_of_distribution,MXI1,0.829272
DNABERT-6,out_of_distribution,USF1,0.892872
DNABERT-6,out_of_distribution,ELF1,0.904212
DNABERT-6,out_of_distribution,ETS1,0.792888
DNABERT-6,out_of_distribution,SPI1,0.809688
DNABERT-6,out_of_distribution,SP2,0.755296
DNABERT-6,out_of_distribution,YY1,0.798996
DNABERT-6,out_of_distribution,ZNF143,0.786276
DNABERT-6,out_of_distribution,REST,0.681624
DNABERT-6,out_of_distribution,GATA1,0.882504
DNABERT-6,out_of_distribution,GATA2,0.861888
DNABERT-6,out_of_distribution,FOXA1,0.765816
DNABERT-6,out_of_distribution,FOXA2,0.755244
DNABERT-6,out_of_distribution,CTCF,0.794448
DNABERT-6,out_of_distribution,STAT3,0.805984
DNABERT-6,out_of_distribution,NRF1,0.768868
DNABERT-6,out_of_distribution,HNF4A,0.70744
DNABERT-6,out_of_distribution,TCF7L2,0.75944
DNABERT-6,out_of_distribution,ZBTB33,0.681908
DNABERT-6,out_of_distribution,POLR2A,0.739984
DNABERT-6,out_of_distribution,EP300,0.868232
DNABERT-6,out_of_distribution,EZH2,0.704656
DNABERT-6,out_of_distribution,TAF1,0.798188
DNABERT-6,out_of_distribution,RBBP5,0.721816
DNABERT-6,out_of_distribution,SAP30,0.70484
DeepSEA,in_distribution,ARID3A,0.794576
DeepSEA,in_distribution,FOXM1,0.784936
DeepSEA,in_distribution,GATA3,0.845016
DeepSEA,in_distribution,JUND,0.914316
DeepSEA,in_distribution,MAX,0.767364
DeepSEA,in_distribution,GABPA,0.844516
DeepSEA,in_distribution,SP1,0.684396
DeepSEA,out_of_distribution,JUN,0.889596
DeepSEA,out_of_distribution,FOSL1,0.902492
DeepSEA,out_of_distribution,ATF3,0.745156
DeepSEA,out_of_distribution,MYC,0.782612
DeepSEA,out_of_distribution,MXI1,0.750572
DeepSEA,out_of_distribution,USF1,0.80825
DeepSEA,out_of_distribution,ELF1,0.882712
DeepSEA,out_of_distribution,ETS1,0.760172
DeepSEA,out_of_distribution,SPI1,0.8221
DeepSEA,out_of_distribution,SP2,0.709208
DeepSEA,out_of_distribution,YY1,0.7054
DeepSEA,out_of_distribution,ZNF143,0.722972
DeepSEA,out_of_distribution,REST,0.60874
DeepSEA,out_of_distribution,GATA1,0.903844
DeepSEA,out_of_distribution,GATA2,0.895764
DeepSEA,out_of_distribution,FOXA1,0.79392
DeepSEA,out_of_distribution,FOXA2,0.771552
DeepSEA,out_of_distribution,CTCF,0.800496
DeepSEA,out_of_distribution,STAT3,0.82428
DeepSEA,out_of_distribution,NRF1,0.699704
DeepSEA,out_of_distribution,HNF4A,0.676676
DeepSEA,out_of_distribution,TCF7L2,0.692324
DeepSEA,out_of_distribution,ZBTB33,0.649508
DeepSEA,out_of_distribution,POLR2A,0.651664
DeepSEA,out_of_distribution,EP300,0.88678
DeepSEA,out_of_distribution,EZH2,0.647132
DeepSEA,out_of_distribution,TAF1,0.727076
DeepSEA,out_of_distribution,RBBP5,0.630776
DeepSEA,out_of_distribution,SAP30,0.614128
DanQ,in_distribution,ARID3A,0.832276
DanQ,in_distribution,FOXM1,0.803088
DanQ,in_distribution,GATA3,0.864552
DanQ,in_distribution,JUND,0.944652
DanQ,in_distribution,MAX,0.774616
DanQ,in_distribution,GABPA,0.868188
DanQ,in_distribution,SP1,0.703888
DanQ,out_of_distribution,JUN,0.91556
DanQ,out_of_distribution,FOSL1,0.914556
DanQ,out_of_distribution,ATF3,0.751464
DanQ,out_of_distribution,MYC,0.77711
DanQ,out_of_distribution,MXI1,0.75236
DanQ,out_of_distribution,USF1,0.825708
DanQ,out_of_distribution,ELF1,0.905936
DanQ,out_of_distribution,ETS1,0.761668
DanQ,out_of_distribution,SPI1,0.859912
DanQ,out_of_distribution,SP2,0.715372
DanQ,out_of_distribution,YY1,0.71454
DanQ,out_of_distribution,ZNF143,0.73128
DanQ,out_of_distribution,REST,0.606832
DanQ,out_of_distribution,GATA1,0.902912
DanQ,out_of_distribution,GATA2,0.898868
DanQ,out_of_distribution,FOXA1,0.825904
DanQ,out_of_distribution,FOXA2,0.816404
DanQ,out_of_distribution,CTCF,0.818696
DanQ,out_of_distribution,STAT3,0.852296
DanQ,out_of_distribution,NRF1,0.704404
DanQ,out_of_distribution,HNF4A,0.7116
DanQ,out_of_distribution,TCF7L2,0.710924
DanQ,out_of_distribution,ZBTB33,0.679536
DanQ,out_of_distribution,POLR2A,0.660776
DanQ,out_of_distribution,EP300,0.903428
DanQ,out_of_distribution,EZH2,0.650432
DanQ,out_of_distribution,TAF1,0.741932
DanQ,out_of_distribution,RBBP5,0.633476
DanQ,out_of_distribution,SAP30,0.61998
