model,data_type,tf,point_auc,mean_auc,ci95_low,ci95_high,auprc,prec_at_rec50,prec_at_prev1e-3
HetMoE,in_distribution,ARID3A,0.8652599999999999,0.8652299693819973,0.8414771145018237,0.886706288710755,0.872545115040837,0.9219858156028369,0.011691698893785416
static_mean,in_distribution,ARID3A,0.796452,0.7963827368053434,0.7705381052018042,0.8230698901020833,0.7876479838931797,0.7993630573248408,0.0039722732164335
best_single,in_distribution,ARID3A,0.627928,0.6276632116513244,0.5926586463039609,0.662685355177237,0.6370804890492946,0.628140703517588,0.0016880258200429436
DNABERT,in_distribution,ARID3A,0.77844,0.7790030359781044,0.7504353190845687,0.8090922560329424,0.7829279315645572,0.7746913580246914,0.0034299926207330077
HetMoE,in_distribution,FOXM1,0.8522320000000001,0.8518320816941262,0.8272264973039272,0.8763651795912848,0.8408007532956641,0.8581081081081081,0.00601724628067848
static_mean,in_distribution,FOXM1,0.774456,0.7742030845200377,0.7472536036039636,0.8022512769322926,0.735007572230581,0.7537537537537538,0.0030546799888035636
best_single,in_distribution,FOXM1,0.686796,0.686475462842629,0.6545475283723422,0.7172386150742182,0.6724067191487775,0.6923076923076923,0.002247191011235955
DNABERT,in_distribution,FOXM1,0.7934439999999999,0.7934123491887772,0.7659947076300406,0.8207612469508063,0.7719046850110933,0.8064516129032258,0.004153513872736335
HetMoE,in_distribution,GATA3,0.887492,0.8874288216743719,0.8663092329205162,0.907967492596531,0.8838086149229931,0.922509225092251,0.01177634368081398
static_mean,in_distribution,GATA3,0.8516439999999998,0.8516591671242753,0.829407595180028,0.8746039331628507,0.8428849486470192,0.9057971014492754,0.009533251982916414
best_single,in_distribution,GATA3,0.6989239999999999,0.6993817522804442,0.6665958138725406,0.732764695261951,0.7085673062732953,0.6792452830188679,0.0021152829190904283
DNABERT,in_distribution,GATA3,0.832076,0.8320052716383561,0.8069632424535634,0.8570123005561655,0.8285474527662042,0.8456375838926175,0.005453837164004674
HetMoE,in_distribution,JUND,0.9844360000000001,0.9844696105900571,0.9781808986278437,0.9898033547090529,0.9841678173899949,0.9964664310954063,0.2201405152224824
static_mean,in_distribution,JUND,0.9201839999999999,0.9201721152360199,0.904216068567359,0.9357778652416654,0.9114048801393936,0.9370629370629371,0.014684931506849316
best_single,in_distribution,JUND,0.8436300000000001,0.8437767041014816,0.8187621878519484,0.8670188867569437,0.8329539826224998,0.8571428571428571,0.0059701492537313425
DNABERT,in_distribution,JUND,0.9020959999999999,0.9021558175765902,0.8837009809655985,0.9198453169491525,0.8973645640593179,0.9259259259259259,0.012357884330202669
HetMoE,in_distribution,MAX,0.843988,0.8448067734438139,0.8188989505348316,0.8679407740327003,0.8237779835698498,0.8486842105263158,0.00558296546351597
static_mean,in_distribution,MAX,0.7098119999999999,0.7110510491799474,0.680334077104702,0.743450404817961,0.6999254283786586,0.7050561797752809,0.002387156905635973
best_single,in_distribution,MAX,0.9276479999999999,0.927890610139623,0.9105679521108814,0.9435022559100519,0.9287070590616374,0.9619771863117871,0.024699794981938885
DNABERT,in_distribution,MAX,0.86868,0.8690462128508522,0.8466393206888442,0.8914040000000001,0.8633887016339179,0.8923611111111112,0.008230320886440786
HetMoE,in_distribution,GABPA,0.920568,0.9204715781227278,0.9022149257656329,0.9362399891908074,0.9221531311924217,0.9660377358490566,0.02768465448253488
static_mean,in_distribution,GABPA,0.813744,0.8141481274226248,0.7889802816675343,0.8401991302751368,0.8057687554696842,0.8306188925081434,0.004884776736969141
best_single,in_distribution,GABPA,0.803216,0.8032435799472837,0.7758088495724581,0.8316458038618872,0.7971656968442078,0.8625429553264605,0.006242073064584318
DNABERT,in_distribution,GABPA,0.8988960000000001,0.8989342944258251,0.8797991078045739,0.9159739959346871,0.9014768336968095,0.9230769230769231,0.011869436201780416
