model,data_type,tf,point_auc,mean_auc,ci95_low,ci95_high
HetMoE,in_distribution,ARID3A,0.8344119999999999,0.8350905652097598,0.8073561475760878,0.8575337934197378
static_mean,in_distribution,ARID3A,0.7532200000000001,0.7542621432457731,0.7240264861113117,0.7818629865293006
best_single,in_distribution,ARID3A,0.7097439999999999,0.709959079046232,0.6776757907519243,0.741258993482054
DNABERT,in_distribution,ARID3A,0.750428,0.75120038848293,0.720933940759795,0.7810344680830518
HetMoE,in_distribution,FOXM1,0.834916,0.8346464412860541,0.8071577216529633,0.8570892539381171
static_mean,in_distribution,FOXM1,0.752528,0.7524929556623156,0.7192964776756349,0.7815780314237813
best_single,in_distribution,FOXM1,0.72384,0.7238555909900986,0.6906411583729304,0.7536203202131068
DNABERT,in_distribution,FOXM1,0.766592,0.7665613335468046,0.736443825747833,0.7950061754107114
HetMoE,in_distribution,GATA3,0.851168,0.8510783440777925,0.8267870123019191,0.8743259053839353
static_mean,in_distribution,GATA3,0.762656,0.7625079917532586,0.7333536696830568,0.7928333666327745
best_single,in_distribution,GATA3,0.871532,0.8714254206678034,0.8499789765401911,0.8908694762331641
DNABERT,in_distribution,GATA3,0.798064,0.7979750268121619,0.7709476011039134,0.8240659487698239
HetMoE,out_of_distribution,BCLAF1,0.764216,0.7635061079506342,0.7344097673984911,0.7926860889436047
static_mean,out_of_distribution,BCLAF1,0.712448,0.7109390890992692,0.6810613779741633,0.741352687684323
best_single,out_of_distribution,BCLAF1,0.644108,0.6424699221717345,0.6091778531609288,0.6738549562999
DNABERT,out_of_distribution,BCLAF1,0.72788,0.7265784355658558,0.6960721032381235,0.7565044291993679
HetMoE,out_of_distribution,CTCF,0.9347479999999999,0.9347245474538397,0.9176472581131714,0.9492387910861632
static_mean,out_of_distribution,CTCF,0.8366600000000001,0.8361594397492165,0.8102586093209777,0.8594324047910777
best_single,out_of_distribution,CTCF,0.637056,0.6364049221682047,0.6025460524831411,0.669768246722607
DNABERT,out_of_distribution,CTCF,0.7716440000000001,0.7711033997250047,0.7418467932031727,0.7996338933018791
HetMoE,out_of_distribution,POLR2A,0.7425520000000001,0.742524911410262,0.7147734367186718,0.7722254373768843
static_mean,out_of_distribution,POLR2A,0.7028240000000001,0.7027908021478629,0.669868213554835,0.7369622481383082
best_single,out_of_distribution,POLR2A,0.631452,0.6309269093523283,0.5964389927591053,0.6674036803902319
DNABERT,out_of_distribution,POLR2A,0.716092,0.7157094182902807,0.6833132134367128,0.7471866659104929
HetMoE,out_of_distribution,RBBP5,0.7295039999999999,0.730058698639025,0.6982258389203766,0.759926606912217
static_mean,out_of_distribution,RBBP5,0.7020319999999999,0.7023605909595337,0.6706143620807731,0.7333744568217758
best_single,out_of_distribution,RBBP5,0.6707000000000001,0.6707066602052946,0.6400174720818262,0.7027208432344895
DNABERT,out_of_distribution,RBBP5,0.7164560000000001,0.7168373362987609,0.6838165656409391,0.7481416177264708
HetMoE,out_of_distribution,SAP30,0.711964,0.7117197445950922,0.6801013067421261,0.7437487125811634
static_mean,out_of_distribution,SAP30,0.6863679999999999,0.6862572442083217,0.6561970335833223,0.7175210452044101
best_single,out_of_distribution,SAP30,0.650916,0.6506904167180708,0.6174118275644858,0.6833376714646007
DNABERT,out_of_distribution,SAP30,0.710264,0.7101925633269429,0.6790334903725236,0.738915562345648
HetMoE,out_of_distribution,STAT3,0.779112,0.7783020024362531,0.7497602319669477,0.8081408833323491
static_mean,out_of_distribution,STAT3,0.7425879999999999,0.7416525890769364,0.7094064738838096,0.7723635872814358
best_single,out_of_distribution,STAT3,0.689772,0.6888513564037348,0.6557888819813018,0.7227013513787818
DNABERT,out_of_distribution,STAT3,0.748828,0.7480656467077555,0.7188356576052172,0.7776887934987637
