data_type,tf,mean_diff,ci95_low,ci95_high,p_value,superior,non_inferior_TOST
in_distribution,ARID3A,0.07906067003472765,0.060173419781063865,0.09848547260187976,0.0,True,True
in_distribution,FOXM1,0.0531708085043081,0.03617718837542279,0.06969528935873219,0.0,True,True
in_distribution,GATA3,0.08867149263388889,0.07038186167867273,0.10727459677868406,0.0,True,True
in_distribution,JUND,0.15906873008851813,0.13703789497152866,0.17999571387262095,0.0,True,True
in_distribution,MAX,0.06727956751392614,0.052589981701228944,0.08220156618401134,0.0,True,True
in_distribution,GABPA,0.041915603055074274,0.03117372412393237,0.054801768352061575,0.0,True,True
in_distribution,SP1,0.09013589838583337,0.07194396373438773,0.10916141590865348,0.0,True,True
out_of_distribution,JUN,0.14239757290879423,0.12156252261667681,0.161530664931195,0.0,True,True
out_of_distribution,FOSL1,0.14757535231161487,0.12720624958109975,0.1687329783321883,0.0,True,True
out_of_distribution,ATF3,0.06910118982487379,0.05312904742681593,0.08523800366160802,0.0,True,True
out_of_distribution,MYC,0.05400953757790775,0.03941713537999467,0.07049694966612917,0.0,True,True
out_of_distribution,MXI1,0.046674262757237274,0.029583769037005,0.06284649429203443,0.0,True,True
out_of_distribution,USF1,0.09397154099066367,0.07687179192753339,0.1105525283734046,0.0,True,True
out_of_distribution,ELF1,0.04604491630303637,0.034351665159401176,0.05831130368693276,0.0,True,True
out_of_distribution,ETS1,0.06342156194109652,0.04803631038236593,0.08052813283401751,0.0,True,True
out_of_distribution,SPI1,0.06637668337349649,0.05063501559888187,0.0825394608573091,0.0,True,True
out_of_distribution,SP2,0.09551185417214168,0.07733794522661262,0.11507523538382534,0.0,True,True
out_of_distribution,YY1,0.006107292843920744,-0.009984204958255735,0.02166711684673875,0.438,False,True
out_of_distribution,ZNF143,0.038916108751720975,0.023015275216039292,0.05436186755685418,0.0,True,True
out_of_distribution,REST,0.03347506348154148,0.016934574625525403,0.05057417913217357,0.0,True,True
out_of_distribution,GATA1,0.07197255762996943,0.05729790180286162,0.08689494158483528,0.0,True,True
out_of_distribution,GATA2,0.08859485010718117,0.0724749314532015,0.10631726489648956,0.0,True,True
out_of_distribution,FOXA1,0.06590333963617269,0.0472401087760127,0.0849781645090536,0.0,True,True
out_of_distribution,FOXA2,0.07987670935512474,0.060483617366372366,0.10027771009405678,0.0,True,True
out_of_distribution,CTCF,0.09787052490883211,0.0786936303786608,0.11756213001412455,0.0,True,True
out_of_distribution,STAT3,0.06124935670223848,0.04204024265813429,0.08027729276335516,0.0,True,True
out_of_distribution,NRF1,0.04006241938133607,0.022869639478391192,0.058447221870221285,0.0,True,True
out_of_distribution,HNF4A,0.05462890351002538,0.03668132273091544,0.07388693753868954,0.0,True,True
out_of_distribution,TCF7L2,0.03960930874977701,0.021482039690179464,0.05782561088991626,0.0,True,True
out_of_distribution,ZBTB33,0.01939649602393941,0.004217984887908769,0.0341263705384233,0.012,True,True
out_of_distribution,POLR2A,0.004884177911538277,-0.015001490136974723,0.025991434980014463,0.652,False,False
out_of_distribution,EP300,0.04948584113577498,0.032481356807621875,0.06604661054570879,0.0,True,True
out_of_distribution,EZH2,-0.013883361245586276,-0.03109779024777484,0.0027901524792607996,0.106,False,False
out_of_distribution,TAF1,0.01619511355535335,0.0003390096265747406,0.03105767368117812,0.046,True,True
out_of_distribution,RBBP5,-0.014901465424044946,-0.034320092604206015,0.004420252561483229,0.116,False,False
out_of_distribution,SAP30,0.0009129540305498465,-0.016865729053401616,0.01916788566495273,0.914,False,False
