model,data_type,tf,point_auc,mean_auc,ci95_low,ci95_high,auprc,prec_at_rec50,prec_at_prev1e-3
HetMoE,in_distribution,ARID3A,0.826912,0.8277308711746563,0.8009392392797323,0.8528202,0.8415661514717239,0.8788927335640139,0.007212016241233425
static_mean,in_distribution,ARID3A,0.7193120000000001,0.7197149194618097,0.6892099931007319,0.7504991587036126,0.7088758423892103,0.704225352112676,0.0023776689333777166
best_single,in_distribution,ARID3A,0.741972,0.7422311261411624,0.7110711302130214,0.7711285447235213,0.7672452589821686,0.7795031055900621,0.003526271424557461
DNABERT,in_distribution,ARID3A,0.7479399999999999,0.7486702011399287,0.7176904051933594,0.7777336024595514,0.7604086407578824,0.746268656716418,0.0029354781893970528
HetMoE,in_distribution,FOXM1,0.8348080000000001,0.8345518254848068,0.8095553178845183,0.8591547317514808,0.8366176242829995,0.8494983277591973,0.00561835032847442
static_mean,in_distribution,FOXM1,0.755076,0.7554589135852948,0.7259130306186979,0.7834447367674111,0.7222804806375483,0.7492537313432835,0.0029821664072617535
best_single,in_distribution,FOXM1,0.8078620000000001,0.8082110155757538,0.7815385551319877,0.8327633527396373,0.8192136879020667,0.8422818791946308,0.005317345987628167
DNABERT,in_distribution,FOXM1,0.781244,0.7813810169804986,0.7531795984447004,0.8088817047227241,0.7604294433251984,0.7692307692307693,0.003325573661456602
HetMoE,in_distribution,GATA3,0.8543639999999999,0.8544628034659095,0.8316329970159343,0.8769419411048542,0.8560835169861807,0.8689655172413793,0.00659444182760245
static_mean,in_distribution,GATA3,0.768228,0.7680240642484006,0.7384213422325004,0.796734268707483,0.7700906475387804,0.7716049382716049,0.003370362381363245
best_single,in_distribution,GATA3,0.783404,0.7836163551079068,0.7539877450559702,0.8114840377957916,0.7937710993442002,0.8169934640522876,0.00444887354521835
DNABERT,in_distribution,GATA3,0.765924,0.7657913108320206,0.7361439469795853,0.7922671838851937,0.7721930983638832,0.8116883116883117,0.0042961231784437726
HetMoE,in_distribution,JUND,0.95196,0.9519438409346139,0.939494459535967,0.963233938232551,0.952096120034833,0.9881889763779528,0.07727832512315272
static_mean,in_distribution,JUND,0.79924,0.7989972937405819,0.7709722875665274,0.8261662362146448,0.7711713873850319,0.7716049382716049,0.003370362381363245
best_single,in_distribution,JUND,0.9814719999999999,0.9814909053086583,0.973808914831905,0.9877427887965369,0.9831805207083089,1.0,1.0
DNABERT,in_distribution,JUND,0.7931039999999999,0.7928751108460959,0.7655372995092999,0.8206171549501673,0.7737305192115956,0.7832817337461301,0.003604861576165168
HetMoE,in_distribution,MAX,0.937584,0.9377186498095202,0.9233694126575943,0.9507175900084347,0.9374280063272504,0.9647887323943662,0.026695245518316448
static_mean,in_distribution,MAX,0.8554200000000001,0.8555943286218838,0.8317389831231324,0.8778005291876297,0.8291260461460197,0.8542372881355932,0.005832118308685691
best_single,in_distribution,MAX,0.8681599999999999,0.8682564788121938,0.8468863632437602,0.8887697661094947,0.8621346382185128,0.8928571428571429,0.00827266710787558
DNABERT,in_distribution,MAX,0.8702960000000001,0.8704390822955941,0.8488070465292494,0.8906023496375942,0.8509275096004247,0.8620689655172413,0.006217358865953743
HetMoE,in_distribution,GABPA,0.963336,0.9635317603164193,0.9526190455930962,0.9728657593909672,0.965411105023818,0.9925093632958801,0.1171011931064958
static_mean,in_distribution,GABPA,0.920812,0.9208529390822674,0.9044049925562246,0.9368830526274221,0.9075662335503096,0.9527272727272728,0.019775077364329388
